use,ID,year,birdID,plot,hemd,phem,strmwi,expr,exps,leaflit,wdfl,wat,decgv,evergv,treeb,du1,can0_1.5,can1.5_5,can5_15,can15
1,1,1,PasaDoble,A,0.72,0.24,11.5,70,0,0,2,20,0,0,0,1,0.11,0.89,0.67,0.11
1,2,1,PasaDoble,B,0.68,0.29,12,5,0,30,8,30,10,2,2,2,0.22,1,0.78,0.44
1,3,1,UBBull,A,0.75,0.48,5,20,2,25,9,25,8,0,0,1,0.11,0.56,1,1
1,4,1,UBBull,B,0.72,0.32,12.5,20,7,5,3,30,8,0,10,1,0,0.67,0.78,0.22
1,5,1,Sleepy,A,0.88,0.52,1.6,0,10,15,13,15,40,0,0,2,0,0,0.44,0.89
1,6,1,Sleepy,B,0.9,0.24,1.8,16,5,16,20,25,5,0,0,1,0,0.56,0.89,1
1,7,1,Twist,A,0.35,0.44,1.7,30,0,10,3,10,25,0,3,2,0,1,0.67,0.22
1,8,1,Twist,B,0.22,0.48,0.2,15,0,20,5,0,50,5,5,1,0.56,0.78,1,0.89
1,9,1,Pat,A,0.68,0.44,9.6,50,0,0,0,33,13,0,0,1,0,0.56,0.56,0
1,10,1,Pat,B,0.43,0.5,10,45,0,0,1,52,0,0,0,1,0,0.33,0.22,0
1,11,1,UBOffice,A,0.17,0.19,12,25,0,20,10,20,1,0,8,2,0.22,1,0.89,0.56
1,12,1,UBOffice,B,0.57,0.62,11.7,30,2,5,2,30,12,5,4,2,0.11,0.67,0.78,0.67
1,13,1,MrDorsey,A,0.37,0.26,15,27,1,5,10,33,2,0,0,2,0,0.89,0.89,0.22
1,14,1,MrDorsey,B,0.77,0.63,3.8,27,5,22,20,7,3,1,0,1,0.11,0.78,0.89,0.44
1,15,1,Tonto,A,0.75,0.23,3.1,13,10,15,17,20,18,0,0,1,0.22,0.44,0.67,1
1,16,1,Tonto,B,0.77,0.55,3.1,20,15,5,10,25,10,5,0,1,0.11,0.44,0.78,0.78
1,17,1,JuanPablo,A,0.63,0.4,4.7,10,0,5,15,20,25,15,0,2,0.67,0.56,0.22,0.56
1,18,1,JuanPablo,B,0.82,0.39,5.2,20,0,10,10,10,30,15,0,2,0.78,0.33,0.44,1
