ID,i,j,k,f,#,yr,jyr,hemd,phem,strmwi,expr,exps,leaflit,wdfl,wat,decgv,evergv,treeb,decdu1,everdu1,can0_1.5,can1.5_5,can5_15,can>15,du1
/*0116*/,5,31,31,0,1,0,99,0.65,0.27,10.8,3,0,23,2,0,10,45,2,0,1,44,89,100,33,2
/*0216*/,1,17,20,1,1,0,94,1,0,9.3,15,0,10,5,15,30,0,5,1,0,56,44,89,33,1
/*0316*/,6,7,9,1,1,0,100,0.55,0.15,0.7,2,0,30,15,25,3,15,3,0,1,89,89,89,100,2
/*0516*/,9,17,18,1,1,0,103,0.63,0.19,1.7,2,0,10,1,15,10,45,0,0,1,44,67,100,89,2
/*0616*/,12,14,17,1,1,0,106,0.77,0.29,8.4,7,5,43,10,8,2,7,5,0,1,56,67,78,56,2
/*0716*/,16,38,40,1,1,0,108,0.78,0.15,13.4,10,0,5,3,10,20,32,2,0,1,78,56,78,33,2
/*0816*/,16,36,37,1,1,0,109,0.78,0.37,2,25,2,10,2,10,30,3,5,1,0,22,89,100,44,1
/*1016*/,15,35,37,1,1,0,109,0.67,0.5,1.1,0,0,25,10,8,35,5,2,1,0,89,44,33,78,1
/*1216*/,20,46,46,0,1,0,113,0.83,0.17,3.85,5,0,35,6,0,5,7,7,0,1,56,67,67,89,2
/*1416*/,14,26,29,1,1,0,102,0.72,0.09,1,2,1,45,28,10,1,2,0,0,1,22,100,89,89,2
/*1516*/,19,43,43,0,1,0,112,0.78,0.23,0.4,10,0,2,13,10,30,25,0,0,1,100,56,78,67,2
/*1616*/,20,37,40,1,1,0,113,0.88,0.18,0.9,3,0,10,5,20,35,2,5,1,0,67,89,89,44,1
/*1716*/,21,42,43,1,1,0,114,0.65,0.76,2.25,8,5,23,17,10,2,23,2,1,0,56,33,78,100,1
/*1816*/,20,45,45,0,1,0,112,0.77,0.4,2.2,3,5,35,7,18,2,15,5,0,1,78,67,78,78,2
/*1916*/,20,45,45,0,1,0,113,0.72,0.32,5.5,8,0,22,5,15,12,10,3,0,1,78,56,44,78,2
/*2016*/,24,35,38,1,1,0,117,0.67,0.24,15,5,0,10,10,20,20,7,3,1,0,56,67,89,67,1
/*2116*/,18,37,37,0,1,0,107,0.83,0.23,3,3,0,60,15,0,5,2,0,0,1,67,100,100,67,2
/*2216*/,19,38,38,0,1,0,108,0.6,0.27,4.35,10,2,5,5,40,18,5,0,0,1,56,100,67,33,2
/*2416*/,25,45,46,1,1,0,118,0.73,0.52,1.8,15,0,15,5,15,29,0,3,1,0,44,67,67,67,1
/*2516*/,28,55,55,0,1,0,121,0.8,0.25,8.4,8,0,10,5,15,30,8,2,1,0,67,44,78,100,1
/*2616*/,28,55,55,0,1,0,121,0.8,0.2,6.85,10,0,3,5,30,5,15,0,0,1,56,22,44,78,2
/*2716*/,23,39,39,0,1,0,106,0.7,0.41,1.75,7,3,10,9,15,1,45,3,0,1,89,78,33,89,2
/*2816*/,20,25,25,0,1,0,93,0.73,0.26,3.9,1,0,15,5,42,15,5,1,0,1,67,67,89,78,2
/*2916*/,28,49,49,0,1,0,118,0.67,0.2,1.5,0,0,50,12,30,0,2,3,0,1,33,89,89,89,2
/*3016*/,29,30,33,1,1,0,122,0.75,0.47,2.1,2,1,15,7,20,12,17,3,1,0,56,44,67,89,1
/*3216*/,44,68,68,0,1,0,137,0.78,0.3,1.5,7,2,20,8,15,15,8,5,0,1,56,56,67,67,2
/*3316*/,42,54,57,1,1,0,136,0.78,0.65,1.75,10,20,35,8,10,1,0,1,0,1,11,22,100,100,2
/*3416*/,40,62,62,0,1,0,130,0.72,0.13,8.6,25,0,6,35,5,15,0,6,1,0,11,67,89,44,1
/*3516*/,46,55,58,1,1,0,139,0.72,0.18,8.3,3,0,34,8,0,10,30,5,0,1,78,78,78,67,2
/*3616*/,48,74,74,0,1,0,142,0.77,0.42,8,3,0,20,12,0,25,15,5,0,1,78,78,56,89,2
/*3716*/,51,55,57,1,1,0,145,0.78,0.19,13.85,15,16,11,13,5,10,15,5,0,1,78,56,44,67,2
/*3816*/,61,82,85,1,1,0,155,0.8,0.19,9.3,20,5,20,3,0,13,10,3,0,1,56,89,89,89,2
/*3916*/,64,74,79,1,1,0,157,0.78,0.24,11.5,8,30,3,10,8,16,3,1,0,1,22,44,89,44,2
/*4016*/,61,67,67,0,1,0,136,0.8,0.48,1.6,12,10,40,10,4,5,8,3,0,1,22,56,100,89,2
/*4116*/,62,72,72,0,1,0,141,0.78,0.34,5.15,0,0,15,8,2,15,20,0,0,1,67,67,78,0,2
/*4216*/,62,82,82,0,1,0,152,0.17,0.08,0.85,3,10,8,10,13,4,42,4,0,1,78,67,89,44,2
/*0115*/,11,34,34,0,1,1,102,0.78,0.42,4,10,2,13,4,20,15,20,0,0,1,67,67,56,33,2
/*0215*/,11,39,39,0,1,1,104,0.7,0.34,4.9,2,0,12,12,8,8,15,0,0,1,33,71,86,43,2
/*0315*/,12,37,37,0,1,1,104,0.77,0.38,1.5,0,0,15,7.5,10,40,7.5,0,1,0,11,56,78,56,1
/*0415*/,12,28,29,1,1,1,105,0.63,0.44,3,25,0,17,8,15,5,20,0,1,0,11,67,44,100,1
/*0515*/,27,29,31,1,1,1,107,0.77,0.22,7.3,1,0,4,2,35,2,5,0,0,1,22,43,29,100,2
/*0615*/,14,34,36,1,1,1,107,0.42,0.43,12.1,6.5,6,10,17.5,5,20,20,0,0,1,56,89,100,33,2
/*0915*/,19,31,33,1,1,1,112,0.83,0.43,7.9,7.5,0,5,2.5,30,0,40,2.5,0,1,44,33,56,100,2
/*1015*/,20,47,47,0,1,1,113,0.77,0.47,7.71,10,0,10,6,35,20,0,4,1,0,22,56,89,78,1
/*1115*/,21,47,47,0,1,1,113,0.52,0.25,13.3,0,5,65,7,0,15,1,2,1,0,22,78,89,44,1
/*1215*/,22,49,49,0,1,1,115,0.52,0.6,8.3,0.5,34.5,40,7,0,7,3,0,0,1,22,56,78,89,2
/*1315*/,19,38,41,1,1,1,107,0.42,0.62,3.3,10,7,8,10,17,17,20,0,0,1,44,100,71,14,2
/*1415*/,28,52,54,1,1,1,121,0.82,0.44,3.1,10,5,20,5,10,2.5,30,0,0,1,44,78,100,89,2
/*1515*/,26,52,52,0,1,1,118,0.5,0.2,11.2,15,0,25,10,0,20,4,0,0,1,100,100,89,67,2
/*1615*/,25,29,30,1,1,1,111,0.57,0.5,1.4,0,3,8,9,10,50,8,0,1,0,78,78,67,67,1
/*1715*/,26,44,44,0,1,1,110,0.78,0.35,1.3,5,4,50,11,12.5,0,5,6.5,0,1,56,78,78,78,2
/*1815*/,28,43,43,0,1,1,110,0.9,0.15,1.5,1,1,1,20,20,20,20,10,0,1,67,56,44,89,2
/*1915*/,29,31,32,1,1,1,117,0.83,0.17,1.6,5,0,7.5,7.5,10,45,0,5,1,0,33,44,67,44,1
/*2015*/,32,54,59,1,1,1,125,0.37,0.1,12.1,5,0,50,9,0,20,5,2,1,0,22,57,86,29,1
/*2115*/,30,35,35,0,1,1,102,0.58,0.35,1.7,5,1,55,5,20,0,3,6,0,1,22,67,100,22,2
/*2215*/,30,42,42,0,1,1,108,0.92,0.07,1.4,7,5,50,8,20,0,1,0,0,1,22,100,56,89,2
/*2315*/,36,42,45,1,1,1,128,0.48,0.5,13.5,15,0,10,5,8,35,0,0,1,0,44,33,78,33,1
/*2415*/,33,43,43,0,1,1,109,0.78,0.16,1.5,10,5,35,9,15,2,1,5,0,1,44,67,78,78,2
/*2515*/,36,44,44,0,1,1,110,0.83,0.24,2.8,3,2,60,11,10,2,10,0,0,1,67,33,78,89,2
/*2615*/,38,43,44,1,1,1,131,0.7,0.3,6.9,5,0,20,18.5,1.5,15,20,0,1,0,56,67,89,100,1
/*2715*/,40,59,59,0,1,1,127,0.4,0.39,15.1,25,0,20,9,0,20,3,1,0,1,44,78,89,33,2
/*2815*/,45,49,52,1,1,1,120,0.8,0.18,1.75,0,21,20,7,20,30,0,0,1,0,56,67,100,89,1
/*3015*/,49,73,73,0,1,1,141,0.73,0.52,3,10,0,10,10,20,20,5,0,0,1,33,56,56,100,2
/*3115*/,52,67,69,1,1,1,138,0.6,0.46,7.8,5,2,10,10,50,5,8,5,0,1,67,100,89,33,2
/*3215*/,73,77,77,0,1,1,145,0.75,0.27,7.4,15,1,25,24,0,0,20,0,0,1,44,100,100,11,2
,,,,,,,,,,,,,,,,,,,,,,,,,
