return,year,birdID,plot,hemd,phem,strmwi,expr,exps,leaflit,wdfl,wat,decgv,evergv,treeb,du1,can0_1.5,can1.5_5,can5_15,can15
1,1,Boogie,B,0.63,0.36,11.8,3,2,13,4,45,20,0,2,1,0,1,0.78,0.44
1,1,Carl,A,0.42,0.55,8.5,2,5,5,7,70,9,0,1,2,0.56,1,0.89,0.11
0,1,Cheryl,B,0.77,0.13,3.6,15,0,45,12,20,1,0,0,2,0.44,0.33,0.78,1
0,1,Dougie,A,0.8,0.26,1.1,5,0,25,15,20,8,5,0,2,0.44,0.56,0.78,0.78
0,1,Freddie,B,0.68,0.26,8,10,0,12,8,33,10,5,0,1,0.22,0.89,0.89,0.44
0,1,George ,B,0.73,0.04,4.5,0,0,27,6,30,1,27,0,2,0.44,0.89,0.89,0.56
1,1,Hopscotch,A,0.72,0.45,7.9,10,0,4,10,40,10,1,0,1,0.11,0.56,1,1
1,1,JuanPablo,A,0.63,0.4,4.7,10,0,5,15,20,25,15,0,2,0.67,0.56,0.22,0.56
1,1,Lindy,B,0.53,0.19,11.1,10,0,15,5,35,5,10,0,2,0.22,0.89,0.89,0.56
0,1,MrDorsey,A,0.37,0.26,15,27,1,5,10,33,2,0,0,2,0,0.89,0.89,0.22
1,1,Obafemi,A,0.67,0.18,9,30,3,10,10,17,8,1,5,1,0.11,0.78,0.78,0.56
0,1,PasaDoble,A,0.72,0.24,11.5,70,0,0,2,20,0,0,0,1,0.11,0.89,0.67,0.11
0,1,Pat,A,0.68,0.44,9.6,50,0,0,0,33,13,0,0,1,0,0.56,0.56,0
1,1,Ron,A,0.82,0.27,4.2,18,13,17,23,12,0,5,8,2,0,0.67,0.89,0.67
1,1,Sleepy,A,0.88,0.52,1.6,0,10,15,13,15,40,0,0,2,0,0,0.44,0.89
0,1,Timber,B,0.73,0.33,7.8,15,0,1,5,45,10,4,0,2,0.11,0.89,0.89,0.33
1,1,Tonto,A,0.75,0.55,3.1,13,10,15,17,20,18,0,0,1,0.22,0.44,0.67,1
1,1,Twist,A,0.35,0.44,1.7,30,0,10,3,10,25,0,3,2,0,1,0.67,0.22
0,1,UBBull,A,0.75,0.48,5,20,2,25,9,25,8,0,0,1,0.11,0.56,1,1
1,1,UBOffice,A,0.17,0.19,12,25,0,20,10,20,1,0,8,2,0.22,1,0.89,0.56
1,1,Watery,A,0.68,0.2,5.4,3,10,16,21,22,10,8,0,2,0.44,0.44,0.78,1
0,1,Whitenoise,A,0.78,0.41,3.3,5,10,20,15,25,15,0,0,2,0.33,0.67,0.78,0.89
1,2,Boogie,B,0.6,0.14,8.7,30,0,0,3,55,10,0,0,2,0.33,0.44,0.56,0.22
0,2,Carl,B,0.57,0.74,7.6,3,10,5,13,45,8,9,0,2,0.78,0.89,0.78,0.33
1,2,DirtyDog,B,0.7,0.24,5.5,20,3,2,3,30,10,15,0,2,0.56,0.67,1,0.78
1,2,Durham,B,0.78,0.24,12.6,40,5,2,5,10,12,3,3,2,0.11,0.67,0.89,0.78
1,2,Hopscotch,B,0.75,0.47,10.5,5,5,5,2,46,5,10,7,2,0.33,0.56,0.89,0.56
1,2,JuanPablo,A,0.68,0.45,4.9,12,0,3,13,20,11,30,1,2,0.22,0.22,0.78,1
1,2,LilMuck,B,0.6,0.39,3.1,5,12,15,10,23,30,0,0,1,0.11,0,0.67,0.78
0,2,Lindy,A,0.73,0.43,2.6,8,0,12,12,18,7,30,0,2,0.44,0.56,0.67,1
0,2,MelloYello,A,0.7,0.39,5.4,5,0,15,12,40,3,15,3,2,0.89,0.78,0.89,0.78
0,2,Mud,B,0.5,0.05,2.3,0,5,22,3,45,2,10,3,2,0.33,0.89,1,0.33
1,2,Nestling,B,0.78,0.29,8.1,3,0,18,8,45,5,7,0,2,0.78,0.56,0.89,0.89
1,2,Nola,A,0.5,0.56,12.5,75,0,0,0,15,5,0,0,2,0.22,0.33,0.44,0.22
1,2,Obafemi,A,0.77,0.34,11.6,3,0,8,0,40,8,30,0,2,0.67,0.67,0.89,0.56
1,2,Raybuck,A,0.9,0.32,4,5,0,0,8,30,30,5,0,2,0.33,0.44,0.56,1
1,2,Ron,B,0.78,0.46,12.4,8,0,0,5,75,0,0,0,2,0.22,0.33,0.56,1
1,2,Sleepy,B,0.87,0.26,2.3,10,0,34,8,15,10,15,3,1,0.89,0.56,0.56,1
1,2,Snappy,B,0.68,0.29,13,20,0,10,4,42,5,11,0,2,0.67,0.44,0.78,0.11
0,2,Tonto,A,0.82,0.52,0.4,10,15,13,12,10,30,0,0,1,0.56,0.56,0.44,0.78
1,2,Twist,A,0.63,0.21,8.5,20,5,0,15,20,25,5,2,1,0.44,0.56,0.56,0.11
0,2,UBFlint,A,0.82,0.33,7.5,12,3,8,10,30,5,5,5,2,0.22,0.33,0.78,0.56
0,2,UBOffice,A,0.57,0.62,9.8,45,10,5,3,6,10,3,0,2,0.22,0.44,0.78,0.56
0,2,UBPinkroot,B,0.77,0.2,4.8,8,2,8,15,45,0,17,2,2,0.89,0.67,0.89,0.56
1,2,Watery,B,0.65,0.45,6.2,5,5,14,24,36,0,2,8,2,0.56,0.56,0.67,1
,,,,,,,,,,,,,,,,,,,
